t,x,y,z,a
292967550253582,-0.21105957,-0.21611023,9.699646,3
292967555166912,-0.20388794,-0.16583252,9.698441,3
292967560110760,-0.22183228,-0.1670227,9.669708,3
292967565054607,-0.2026825,-0.17900085,9.693665,3
292967569998455,-0.22662354,-0.24124146,9.705627,3
292967574942303,-0.1847229,-0.14187622,9.694855,3
292967579855633,-0.25416565,-0.16104126,9.664932,3
292967584799480,-0.22183228,-0.21011353,9.633804,3
292967589712811,-0.2421875,-0.2077179,9.712814,3
292967594656658,-0.23500061,-0.2244873,9.658936,3
292967599569988,-0.17755127,-0.12991333,9.660141,3
292967604513836,-0.23979187,-0.19335938,9.642181,3
292967609457684,-0.22543335,-0.24842834,9.648163,3
292967614371014,-0.22662354,-0.22807312,9.702042,3
292967619314861,-0.23860168,-0.15385437,9.657745,3
292967624258709,-0.22782898,-0.10597229,9.650558,3
292967629202557,-0.24816895,-0.22807312,9.670914,3
292967634115887,-0.18832397,-0.23765564,9.672104,3
292967639059734,-0.21943665,-0.16223145,9.661331,3
292967643973064,-0.2421875,-0.18377686,9.651764,3
292967648916912,-0.21466064,-0.15983582,9.706833,3
292967653860760,-0.22662354,-0.24363708,9.676895,3
292967658774090,-0.2134552,-0.20054626,9.686478,3
292967663717937,-0.21105957,-0.12991333,9.69725,3
292967668631268,-0.22662354,-0.21730042,9.652954,3
292967673575115,-0.21466064,-0.21131897,9.691269,3
292967678488445,-0.21705627,-0.23046875,9.672104,3
292967683432293,-0.1799469,-0.14308167,9.727173,3
292967688376141,-0.2421875,-0.15744019,9.675705,3
292967693289471,-0.23022461,-0.25561523,9.6362,3
292967698233318,-0.22662354,-0.2184906,9.662537,3
292967703177166,-0.24937439,-0.22807312,9.640991,3
292967708121014,-0.20747375,-0.119140625,9.65654,3
292967713034344,-0.26493835,-0.21730042,9.668518,3
292967717978191,-0.22183228,-0.24482727,9.688873,3
292967722922039,-0.20747375,-0.16941833,9.712814,3
292967727835369,-0.22782898,-0.16223145,9.648163,3
292967732779217,-0.2242279,-0.14427185,9.742737,3
292967737723064,-0.2242279,-0.24482727,9.676895,3
292967742666912,-0.1954956,-0.21490479,9.725983,3
292967747580242,-0.18232727,-0.121536255,9.771469,3
