Magnificacao;Municao;Label;Circ;Round;df;AR;Mun;Nova classificacao;Classificacao numerica;Classificacao morfometrica
10000;5.56;GSR5.561-10-ME6-1-attrFilt;0,375;0,698;11,746;1,433;2;Arredondada e muito baixa circularidade;8;Regular nao esferica
10000;5.56;GSR5.561-10-ME51-1-attrFilt;0,269;0,533;12,294;1,876;2;Arredondada e muito baixa circularidade;8;Irregular
10000;5.56;GSR5.561-10-ME179-1-attrFilt;0,325;0,736;10,025;1,359;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
10000;5.56;GSR5.561-10-ME191-1-attrFilt;0,617;0,519;8,265;1,928;2;Arredondada e Moderadamente circular;6;Regular Semi-esferica
10000;5.56;GSR5.561-10-ME194-1-attrFilt;0,433;0,803;9,201;1,245;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
10000;5.56;GSR5.561-10-ME204-1-attrFilt;0,384;0,657;6,812;1,522;2;Arredondada e muito baixa circularidade;8;Regular nao esferica
10000;5.56;GSR5.561-10-ME425-1-attrFilt;0,486;0,651;9,226;1,537;2;Arredondada e baixa circularidade;7;Regular nao esferica
10000;5.56;GSR5.56-2-1-MD457-1-attrFilt;0,213;0,569;7,182;1,758;2;Arredondada e muito baixa circularidade;8;Irregular
10000;5.56;GSR5.563-10-ME285-1-attrFilt;0,643;0,957;7,401;1,045;2;Muito arredondado e Moderamente circular;2;Regular Semi-esferica
10000;5.56;GSR5.563-10-ME679-1-attrFilt;0,54;0,678;6,67;1,474;2;Arredondada e baixa circularidade;7;Regular Semi-esferica
10000;5.56;GSR5.56mm1-10MD58-1-attrFilt;0,268;0,557;9,623;1,794;2;Arredondada e muito baixa circularidade;8;Irregular
10000;5.56;GSR5.56mm1-10MD194-1-attrFilt;0,278;0,898;8,071;1,114;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
10000;5.56;GSR5.56mm1-10MD1232-1-attrFilt;0,313;0,453;11,653;2,207;2;Sub arredondada e muito baixa circularidade;12;Irregular arredondada
10000;5.56;GSR5.56mm1-10MD1249-1-attrFilt;0,539;0,646;10,863;1,548;2;Arredondada e baixa circularidade;7;Regular Semi-esferica
10000;5.56;GSR5.56mm1-10MD1584-1-attrFilt;0,364;0,541;8,178;1,849;2;Arredondada e muito baixa circularidade;8;Irregular
10000;5.56;GSR5.56mm1-10MD1594-1-attrFilt;0,275;0,721;9,775;1,387;2;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
10000;5.56;GSR5.56mm1-10MD1648-1-attrFilt;0,441;0,742;8,593;1,348;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
10000;5.56;GSR5.56mm1-10MD1674-1-attrFilt;0,368;0,796;10,29;1,256;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
10000;5.56;GSR5.56mm1-10MD1759-1-attrFilt;0,33;0,852;11,731;1,173;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
10000;5.56;GSR5.56mm1-10MD1770-1-attrFilt;0,37;0,873;9,622;1,146;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
10000;5.56;GSR5.56mm1-10MD1775-1-attrFilt;0,55;0,64;9,932;1,562;2;Arredondada e baixa circularidade;7;Regular Semi-esferica
10000;5.56;GSR5.56mm1-10MD1801-1-attrFilt;0,537;0,905;7,043;1,105;2;Muito arredondada e baixa circularidade;3;Regular nao esferica
10000;5.56;GSR5.56mm1-10MD1805-1-attrFilt;0,283;0,771;10,885;1,296;2;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
10000;5.56;GSR5.56mm1-10MD1944-1-attrFilt;0,638;0,847;8,57;1,180;2;Muito arredondado e Moderamente circular;2;Regular Semi-esferica
10000;5.56;GSR5.56mm1-10MD1655-1-attrFilt;0,388;0,643;11,912;1,554;2;Arredondada e muito baixa circularidade;8;Regular nao esferica
10000;5.56;GSR5.56mm1-10MD1687-1-attrFilt;0,292;0,537;12,301;1,863;2;Arredondada e muito baixa circularidade;8;Irregular
10000;5.56;GSR5.56mm1-10MD2188-1-attrFilt;0,283;0,401;11,477;2,496;2;Sub arredondada e muito baixa circularidade;12;Irregular arredondada
10000;5.56;GSR5.56mm2-10MD1321-1-attrFilt;0,414;0,666;7,862;1,502;2;Arredondada e muito baixa circularidade;8;Regular nao esferica
10000;5.56;GSR5.56mm3-10MD12-1-attrFilt;0,603;0,923;8,539;1,083;2;Muito arredondado e Moderamente circular;2;Regular nao esferica
10000;5.56;GSR5.56mm3-10MD356-1-attrFilt;0,566;0,848;7,666;1,179;2;Muito arredondada e baixa circularidade;3;Regular nao esferica
10000;5.56;GSR5.56mm3-10ME153-1-attrFilt;0,645;0,974;6,543;1,027;2;Muito arredondado e Moderamente circular;2;Regular Semi-esferica
10000;5.56;GSR5.56mm3-10ME159-1-attrFilt;0,56;0,799;9,049;1,252;2;Muito arredondada e baixa circularidade;3;Regular nao esferica
10000;5.56;GSR5.56mm5-10MD202-1-attrFilt;0,489;0,858;8,161;1,166;2;Muito arredondada e baixa circularidade;3;Regular nao esferica
10000;7.62;GSR7.621-10MD2642-1-attrFilt;0,549;0,757;6,133;1,321;3;Muito arredondada e baixa circularidade;3;Regular nao esferica
10000;7.62;GSR7.622-10MD1037-1-attrFilt;0,59;0,633;10,152;1,580;3;Arredondada e baixa circularidade;7;Regular Semi-esferica
