t;x;y;z;a
292013005065283;-0.9867859;8.763351;4.457535;3
292013010009131;-0.9879761;8.778915;4.312683;3
292013014952979;-0.96284485;8.804047;4.2695923;3
292013019896826;-0.90538025;8.786102;4.1881866;3
292013024840674;-0.8778534;8.793274;4.145096;3
292013029784522;-0.9568634;8.762146;4.0996094;3
292013034728369;-1.0657959;8.731033;4.031372;3
292013039672217;-1.0598145;8.725037;3.9092712;3
292013044616065;-1.0873413;8.760956;3.7883606;3
292013049529395;-1.1675415;8.805252;3.675827;3
292013054473242;-1.3183899;8.810043;3.4531708;3
292013059417090;-1.4644318;8.808838;3.315506;3
292013064360938;-1.5757599;8.848343;3.2341003;3
292013069274268;-1.6463928;8.877075;3.2149506;3
292013074218115;-1.608078;8.848343;3.1479034;3
292013079161963;-1.3315582;8.570618;3.0485535;3
292013084105811;-0.96643066;8.416183;3.0353851;3
292013089049658;-0.95565796;8.553864;2.9120789;3
292013093993506;-1.1555786;8.584976;2.5385895;3
292013098937354;-1.1268463;8.601746;2.5936584;3
292013103881201;-0.92692566;8.634064;2.7073822;3
292013108825049;-0.9424896;8.606537;2.812729;3
292013113738379;-1.1699371;8.614914;3.042572;3
292013118682227;-1.3830261;8.75737;3.1191864;3
292013123626074;-1.5230865;8.868698;3.2185364;3
292013128569922;-1.5494232;8.895035;3.276001;3
292013133513770;-1.5518188;9.000381;3.220932;3
292013138457617;-1.4716187;9.184723;3.2197418;3
292013143370947;-1.0657959;9.388229;3.4244385;3
292013148314795;-0.0027618408;9.40979;3.7177277;3
292013153258643;0.8244324;9.680328;3.6494904;3
292013158202490;0.9082184;10.135223;3.5800629;3
292013163146338;1.0435028;10.075378;3.8482208;3
292013168059668;1.341568;10.366272;3.770401;3
292013173003516;1.3547363;10.1627655;3.3334656;3
292013177947363;1.1296844;9.383453;2.6738586;3
292013182891211;0.57662964;8.499985;2.5948486;3
292013187835059;-0.078186035;7.9110107;2.8989105;3
292013192778906;-0.5857544;7.793701;3.0461578;3
292013197722754;-0.98439026;7.9732666;3.3669739;3
292013202636084;-1.3255615;8.189941;4.039749;3
292013207579932;-1.4093628;8.328796;4.869339;3
292013212523779;-1.4356995;8.274933;5.712097;3
292013217467627;-1.3950043;8.107346;6.3884583;3
292013222411475;-1.3830261;7.936157;7.1282654;3
292013227355322;-1.5769501;7.63089;8.868851;3
292013232299170;-1.8079987;7.1436768;10.252701;3
292013237212500;-1.8187714;6.796509;10.296997;3
292013242156348;-1.7373657;6.7713776;9.99054;3
292013247100196;-1.505127;7.081421;9.529648;3
292013252044043;-1.1747284;7.53273;8.926315;3
292013256987891;-0.9389038;7.943329;8.230804;3
292013261931738;-0.8682709;8.102554;7.287491;3
292013266875586;-0.9903717;8.061844;6.236435;3
292013271819434;-1.2238159;7.951721;5.1829834;3
292013276763281;-1.5829468;7.8894653;4.536545;3
292013281676612;-1.9300995;7.931366;4.153473;3
292013286620459;-2.200653;8.048676;3.8529968;3
292013291564307;-2.3754272;8.030731;3.6303406;3
292013296508154;-2.4388733;7.8942566;3.4627533;3
292013301452002;-2.458023;7.675186;3.205368;3
292013306365332;-2.5106964;7.414215;2.9623566;3
292013311309180;-2.5358276;7.1544495;2.5828857;3
292013316253028;-2.434082;7.204727;2.201004;3
292013321196875;-2.1012878;7.6009674;2.2859955;3
292013326140723;-1.5769501;8.076218;2.8043365;3
292013331084571;-0.9065857;8.523926;3.41008;3
292013336028418;0.094192505;8.997986;4.31987;3
292013340941748;1.1009521;9.460068;5.1518555;3
292013345885596;1.7940826;9.736588;5.8784943;3
292013350829444;2.0945587;9.900589;6.4076233;3
292013355773291;2.0394897;9.892212;6.779907;3
292013360717139;1.6863403;9.832367;7.02652;3
292013365660987;1.1596222;9.788071;7.02652;3
292013370604834;0.67718506;9.677933;6.7643585;3
292013375548682;0.23904419;9.594131;6.498596;3
292013380462012;-0.118881226;9.536682;6.103546;3
292013385405860;-0.32000732;9.50795;5.6462555;3
292013390349707;-0.38703918;9.543854;5.204529;3
292013395293555;-0.3894348;9.682724;4.8118744;3
292013400237403;-0.3499298;9.795258;4.4982452;3
292013405181250;-0.12487793;9.893417;4.271988;3
292013410094580;0.24502563;9.899399;4.1486816;3
292013415038428;0.46888733;9.899399;4.055313;3
292013419982276;0.46409607;9.90419;4.039749;3
292013424895606;0.44973755;9.814407;4.0122223;3
292013429839453;0.5431061;9.754547;3.8434296;3
292013434783301;0.5730438;9.631241;3.5860443;3
292013439727149;0.41381836;9.449295;3.3107147;3
292013444670996;0.027160645;9.274506;2.9456024;3
292013449614844;-0.39541626;9.134445;2.7001953;3
292013454558692;-0.7150421;9.006363;2.5637207;3
292013459472022;-0.88742065;8.850739;2.5876617;3
292013464415869;-1.0203094;8.685532;2.6750488;3
292013469359717;-1.1639557;8.416183;2.7384949;3
292013474303565;-1.2669067;8.18634;2.801941;3
292013479247412;-1.3554993;7.982834;2.9252472;3
292013484191260;-1.4404907;7.851166;2.9623566;3
292013489135108;-1.5195007;7.8499603;3.0760803;3
292013494048438;-1.6092834;7.8775024;3.2269135;3
292013499022803;-1.7277985;7.888275;3.3753662;3
292013503936133;-1.8570709;7.895447;3.5261993;3
292013508879981;-2.0019226;7.872711;3.7560425;3
292013513823828;-2.0737457;7.821228;3.888916;3
292013518737158;-2.1192474;7.772156;3.9703217;3
292013523681006;-2.1072693;7.78891;4.08165;3
292013528624854;-2.042633;7.8786926;4.1486816;3
292013533568701;-1.9576416;7.9493256;4.244461;3
292013538512549;-1.8534851;8.037903;4.3414154;3
292013543456397;-1.6954651;8.170792;4.47908;3
292013548400244;-1.7074432;8.161209;4.599991;3
292013553344092;-1.7756805;8.005585;4.7041473;3
292013558287940;-1.7289886;7.958893;4.6849823;3
292013563231787;-1.5434418;8.018753;4.651474;3
292013568175635;-1.3866119;8.18396;4.6335144;3
292013573088965;-1.3076019;8.364716;4.505417;3
292013578032813;-1.3315582;8.544281;4.57605;3
292013582976660;-1.390213;8.67836;4.7807617;3
292013587920508;-1.3099976;8.684341;4.7412567;3
292013592833838;-1.2908478;8.631668;4.4802856;3
292013597808203;-1.3914032;8.504776;4.3545837;3
292013602721533;-1.5961151;8.364716;4.3773346;3
292013607665381;-1.7756805;8.224655;4.402466;3
292013612609229;-1.884613;8.126495;4.216919;3
292013617553076;-1.9684143;8.02713;3.8709564;3
292013622496924;-2.1431885;7.987625;3.6387177;3
292013627440772;-2.224594;7.9505157;3.497467;3
292013632384619;-2.284439;7.895447;3.473526;3
292013637328467;-2.3167572;7.7709503;3.576477;3
292013642241797;-2.3419037;7.662018;3.7321014;3
292013647185645;-2.3909912;7.4752655;3.952362;3
292013652129492;-2.3442993;7.259796;4.2468414;3
292013657073340;-2.3047943;7.0167847;4.434799;3
292013662017188;-2.3586578;6.753418;4.6251373;3
292013666961035;-2.4843597;6.626526;4.766388;3
292013671904883;-2.4113312;6.6720123;4.901657;3
292013676848731;-2.3802185;6.615753;5.2691803;3
292013681762061;-2.40654;6.579834;5.751602;3
292013686705908;-2.267685;6.5702667;6.237625;3
292013691649756;-1.9624176;6.583435;6.7835083;3
292013696593604;-1.7481384;6.5104065;7.2348175;3
292013701537451;-1.6511841;6.531952;7.5388794;3
292013706481299;-1.2657166;6.8108826;7.5879517;3
292013711394629;-0.5306854;7.492035;7.0959473;3
292013716338477;0.47009277;8.666382;5.9192047;3
292013721282324;1.4062195;9.897003;3.818283;3
292013726226172;1.7581635;10.471619;1.6491394;3
292013731170020;1.8563232;10.464432;0.5298462;3
292013736113867;2.3686829;10.623642;0.1060791;3
292013741057715;2.8547058;10.806808;0.3347168;3
292013746001563;3.0031586;10.658356;1.2684631;3
292013750945410;2.8020325;10.441681;2.3853607;3
292013755889258;2.4692383;10.260925;3.2747955;3
292013760802588;2.2010956;10.191498;3.723709;3
292013765746436;2.0658264;10.064606;4.118759;3
292013770690283;1.8886566;9.932922;4.2109375;3
292013775634131;1.4780426;9.531891;4.328247;3
292013780547461;0.9788513;9.056641;4.5281677;3
292013785491309;0.6185303;9.114105;3.7680054;3
292013790435156;0.2270813;9.091354;3.2412872;3
