t;x;y;z;a;;;;
2,93207E+14;6.293.976;-1.567.627;123.224.945;3;;1654638160874;;
2,93207E+14;6.249.695;-18.058.472;12.989.273;3;;1654638160879;;
2,93207E+14;605.336;-19.949.951;13.685.989;3;;1654638160884;;
2,93207E+14;5.811.554;-2.180.542;14.338.409;3;;1654638160889;;
2,93207E+14;57.696.533;-23.325.806;14.996.811;3;;1654638160894;;
2,93207E+14;579.599;-24.403.229;15.803.665;3;;1654638160899;;
2,93207E+14;60.701.294;-25.253.143;16.732.605;3;;1654638160904;;
2,93207E+14;6.621.994;-26.198.883;17.590.927;3;;1654638160909;;
2,93207E+14;7.147.522;-26.965.027;180.159;3;;1654638160913;;
2,93207E+14;76.131.897;-2.852.127;18.149.979;3;;1654638160918;;
2,93207E+14;8.160.263;-31.262.512;18.237.366;3;;1654638160923;;
2,93207E+14;8.585.236;-320.047;18.199.066;3;;1654638160928;;
2,93207E+14;8.793.533;-30.843.506;17.725.006;3;;1654638160933;;
2,93207E+14;8.774.368;-3.030.487;17.218.628;3;;1654638160938;;
2,93207E+14;8.619.949;-30.400.696;16.600.937;3;;1654638160943;;
2,93207E+14;8.293.137;-31.118.927;16.049.072;3;;1654638160948;;
2,93207E+14;8.005.829;-3.116.684;15.628.891;3;;1654638160953;;
2,93207E+14;78.490.143;-3.073.578;15.242.218;3;;1654638160958;;
2,93207E+14;7.799.942;-2.990.982;150.147.705;3;;1654638160963;;
2,93207E+14;77.233.276;-29.263.458;14.917.801;3;;1654638160968;;
2,93207E+14;7.610.794;-28.700.714;14.988.434;3;;1654638160973;;
2,93207E+14;74.228.516;-28.042.297;15.079.407;3;;1654638160978;;
2,93207E+14;7.056.534;-27.587.433;15.176.376;3;;1654638160983;;
2,93207E+14;66.770.477;-2.682.129;15.238.632;3;;1654638160988;;
2,93207E+14;63.119.354;-26.019.287;15.248.199;3;;1654638160993;;
2,93207E+14;5.969.574;-24.762.268;15.287.704;3;;1654638160997;;
2,93207E+14;5.676.285;-229.068;15.365.524;3;;1654638161002;;
2,93207E+14;5.467.987;-21.003.418;15.294.891;3;;1654638161007;;
2,93207E+14;52.752.533;-19.159.851;15.158.417;3;;1654638161012;;
2,93207E+14;5.056.183;-17.017.059;14.976.471;3;;1654638161017;;
2,93207E+14;47.820.435;-14.814.453;14.640.076;3;;1654638161022;;
2,93207E+14;45.102.997;-12.827.148;14.332.428;3;;1654638161027;;
2,93207E+14;42.601.013;-1.081.604;14.108.566;3;;1654638161032;;
2,93207E+14;4.054.199;-0.8457794;13.690.781;3;;1654638161037;;
2,93207E+14;38.842.163;-0.7200775;133.029.175;3;;1654638161042;;
2,93207E+14;3.645.996;-0.5489044;12.949.768;3;;1654638161047;;
2,93207E+14;33.778.381;-0.3836975;12.613.388;3;;1654638161052;;
2,93207E+14;31.623.688;-0.2184906;12.438.614;3;;1654638161057;;
2,93207E+14;30.199.127;-0.056884766;12.430.237;3;;1654638161062;;
2,93207E+14;2.921.753;0.074798584;12.559.525;3;;1654638161067;;
2,93207E+14;29.600.525;0.17654419;12.767.807;3;;1654638161072;;
2,93207E+14;31.168.823;0.254364;12.962.936;3;;1654638161077;;
2,93207E+14;32.880.554;0.29026794;13.122.162;3;;1654638161081;;
2,93207E+14;33.024.292;0.24357605;13.258.621;3;;1654638161086;;
2,93207E+14;30.318.756;0.15739441;13.263.412;3;;1654638161091;;
2,93207E+14;2.411.789;0.089157104;13.272.995;3;;1654638161096;;
2,93207E+14;16.743.622;0.14302063;13.343.613;3;;1654638161101;;
2,93207E+14;10.590.668;0.22563171;13.481.277;3;;1654638161106;;
2,93207E+14;0.61253357;0.3130188;13.425.018;3;;1654638161111;;
2,93207E+14;0.23664856;0.37167358;13.243.057;3;;1654638161116;;
2,93207E+14;-0.035095215;0.40759277;12.915.054;3;;1654638161121;;
2,93207E+14;-0.27929688;0.45187378;124.841;3;;1654638161126;;
2,93207E+14;-0.5199127;0.48181152;12.108.215;3;;1654638161131;;
2,93207E+14;-0.6899109;0.5524292;11.782.593;3;;1654638161136;;
2,93207E+14;-0.78926086;0.6817169;11.462.967;3;;1654638161141;;
2,93207E+14;-0.8491211;0.8349457;11.215.179;3;;1654638161146;;
2,93207E+14;-0.9496765;0.90797424;10.972.168;3;;1654638161151;;
2,93207E+14;-10.957.184;10.360.565;10.793.793;3;;1654638161156;;
2,93207E+14;-11.472.015;11.533.813;10.592.682;3;;1654638161161;;
2,93207E+14;-10.753.784;12.228.088;10.433.472;3;;1654638161165;;
2,93207E+14;-10.167.084;13.173.828;10.374.802;3;;1654638161170;;
2,93207E+14;-0.88623047;13.916.016;10.323.334;3;;1654638161175;;
2,93207E+14;-0.70906067;15.280.762;10.189.255;3;;1654638161180;;
2,93207E+14;-0.45288086;16.573.639;995.343;3;;1654638161185;;
2,93207E+14;-0.30204773;17.567.139;9.669.708;3;;1654638161190;;
2,93207E+14;-0.311615;18.225.555;9.247.131;3;;1654638161195;;
2,93207E+14;-0.3319702;19.721.985;87.276;3;;1654638161200;;
2,93207E+14;-0.29725647;2.144.577;8.211.639;3;;1654638161205;;
2,93207E+14;-0.27211;2.285.843;7.933.914;3;;1654638161210;;
2,93207E+14;-0.19909668;24.821.625;7.513.733;3;;1654638161215;;
2,93207E+14;-0.099731445;26.593.323;71.366.577;3;;1654638161220;;
2,93207E+14;-0.082977295;28.388.977;6.825.409;3;;1654638161225;;
2,93207E+14;-0.19190979;30.352.173;6.545.288;3;;1654638161230;;
2,93207E+14;-0.31401062;31.477.509;6.146.652;3;;1654638161235;;
2,93207E+14;-0.47323608;32.387.238;5.825.821;3;;1654638161240;;
2,93207E+14;-0.6049042;34.063.263;56.845.703;3;;1654638161244;;
2,93207E+14;-0.6863098;36.672.974;55.828.094;3;;1654638161249;;
2,93207E+14;-0.8024292;38.947.449;52.859.344;3;;1654638161254;;
2,93207E+14;-10.083.313;40.838.776;49.040.527;3;;1654638161259;;
2,93207E+14;-12.896.576;42.407.074;4.501.831;3;;1654638161264;;
2,93207E+14;-14.704.132;4.401.108;40.325.623;3;;1654638161269;;
2,93207E+14;-15.937.195;45.016.785;36.087.952;3;;1654638161274;;
2,93207E+14;-17.804.565;45.890.656;33.095.245;3;;1654638161279;;
2,93207E+14;-20.067.139;47.207.336;30.018.616;3;;1654638161284;;
2,93207E+14;-22.593.079;4.840.454;27.887.726;3;;1654638161289;;
2,93207E+14;-23.383.179;49.601.593;25.230.255;3;;1654638161294;;
2,93207E+14;-23.287.354;5.089.447;22.345.276;3;;1654638161299;;
2,93207E+14;-2.315.567;51.888.123;19.939.117;3;;1654638161304;;
2,93207E+14;-22.233.887;5.346.817;16.455.536;3;;1654638161309;;
2,93207E+14;-2.039.032;5.465.332;127.565;3;;1654638161314;;
2,93207E+14;-18.235.626;55.886.383;0.9225006;3;;1654638161319;;
2,93207E+14;-16.966.705;57.634.125;0.5118866;3;;1654638161324;;
2,93207E+14;-15.781.555;5.903.473;0.16952515;3;;1654638161328;;
2,93207E+14;-1.390.213;6.021.988;-0.2195282;3;;1654638161333;;
2,93207E+14;-10.945.282;614.769;-0.74386597;3;;1654638161338;;
2,93207E+14;-0.71743774;6.259.018;-12.107.391;3;;1654638161343;;
2,93207E+14;-0.3798523;6.310.486;-16.524.658;3;;1654638161348;;
2,93207E+14;-0.12487793;63.356.323;-19.074.402;3;;1654638161353;;
2,93207E+14;0.00920105;6.426.605;-20.056.152;3;;1654638161358;;
2,93207E+14;-0.08656311;65.259.705;-18.715.363;3;;1654638161363;;
2,93207E+14;-0.4660492;65.570.984;-15.890.198;3;;1654638161368;;
2,93207E+14;-0.90538025;66.636.353;-12.753.754;3;;1654638161373;;
2,93207E+14;-11.795.197;6.825.241;-10.108.185;3;;1654638161378;;
2,93207E+14;-14.189.453;6.966.507;-0.6481018;3;;1654638161383;;
2,93207E+14;-16.990.662;6.947.342;-0.24108887;3;;1654638161388;;
2,93207E+14;-20.139.008;6.847.992;0.276062;3;;1654638161393;;
2,93207E+14;-24.628.143;6.792.923;0.94285583;3;;1654638161398;;
2,93207E+14;-28.578.491;68.827.057;17.449.036;3;;1654638161403;;
2,93207E+14;-30.852.966;70.191.803;26.535.034;3;;1654638161408;;
2,93207E+14;-31.667.023;71.424.713;33.119.202;3;;1654638161412;;
2,93207E+14;-31.978.302;7.192.749;4.087.631;3;;1654638161417;;
2,93207E+14;-3.383.377;7.180.786;50.333.405;3;;1654638161422;;
2,93207E+14;-35.545.654;7.177.185;5.714.493;3;;1654638161427;;
2,93207E+14;-3.635.971;7.129.303;60.413.055;3;;1654638161432;;
2,93207E+14;-35.617.523;69.964.294;62.950.897;3;;1654638161437;;
2,93207E+14;-31.798.706;6.875.519;64.315.643;3;;1654638161442;;
2,93207E+14;-25.573.883;6.797.714;6.380.081;3;;1654638161447;;
2,93207E+14;-21.551.514;6.754.608;6.110.733;3;;1654638161452;;
2,93207E+14;-19.755.859;6.844.391;55.672.455;3;;1654638161457;;
2,93207E+14;-18.738.403;6.938.965;49.303.894;3;;1654638161462;;
2,93207E+14;-17.936.249;69.796.753;4.209.732;3;;1654638161467;;
2,93207E+14;-1.608.078;6.859.955;35.405.579;3;;1654638161472;;
2,93207E+14;-13.231.659;67.198.944;30.102.386;3;;1654638161477;;
2,93207E+14;-10.622.101;66.684.265;26.966.095;3;;1654638161482;;
2,93207E+14;-0.861084;6.713.913;25.469.666;3;;1654638161487;;
2,93207E+14;-0.6252594;69.006.653;24.679.565;3;;1654638161491;;
2,93207E+14;-0.346344;7.180.786;23.781.738;3;;1654638161496;;
2,93207E+14;-0.17276001;73.052.826;23.207.092;3;;1654638161501;;
2,93207E+14;-0.087768555;72.969.055;2.295.578;3;;1654638161506;;
2,93207E+14;0.03314209;7.211.914;20.609.436;3;;1654638161511;;
2,93207E+14;0.10736084;72.035.217;1.730.545;3;;1654638161516;;
2,93207E+14;0.29052734;7.326.828;14.827.423;3;;1654638161521;;
